Skawina Podbory,Borek Szlachecki I
Niedźwiedź PKP,Polanowice
Plac Inwalidów,Nowy Kleparz
Os. Mistrzejowice Nowe,Kupały
Wyźrał,Zagacie I
Poczta Główna,Wawel
Brzezie Narodowe,Brzezie Kulka
Powstańców Wielkopolskich,Kuklińskiego
Cracovia,AGH
Bulwarowa,Kombinat
Mrozowa,Kombinat
Wyciąże,Droga do Branic
Belwederczyków,Kuźnicy Kołłątajowskiej
Wróżenice Górka,Hektary
Wola Duchacka,Zajezdnia Wola Duchacka
Poczta Główna,Dworzec Główny
Grabie Dom Kultury,Grabie Kościół
Komorowskiego,Jubilat
Koszykarska,Stoczniowców
Zbydniowice Szkoła,Zbydniowice
Owczary Górna,Owczary Gajowa
Azory,Conrada
Zabierzów Sklep,Zabierzów Piekarnia
Zawiła,Las Borkowski
Libertów Krzyżówka,Droga do Sidziny
Rondo Grzegórzeckie,Klimeckiego
Konary Włosań,Mogilany Włosań
Skawina Korabniki,Skawina Cmentarz Komunalny
Fort Winnica,Winnicka
Rączna I,Rączna Kapliczka
Przeginia Narodowa II,Przeginia Duchowna Bar
Lusina Dolna,Zagrody
Wróżenice Górka,Wróżenice
Brzezinka Skrzyżowanie,Rudawa Bloki
Wiadukty,Elektromontaż
Niepołomice Poręby,Niepołomice Kątek
Ochojno Remiza,Ochojno Skrzyżowanie
Czułów,Czułów II
Elektrociepłownia Kraków,Koszykarska
Rondo Grunwaldzkie,Most Grunwaldzki
Cmentarz Rakowicki,Rondo Mogilskie
Sidzina Olszyny,Żyzna
Branice,Branice Ośrodek Zdrowia
Skawina Kopernika,Skawina Kopernika I
Michałowice Komora,Michałowice Banasiówka
Zagrody,Kraśnik
Blokowa,Mrozowa
Narwik,Os.Kliny
Korzkiew I,Januszowice
Bolechowice,Bolechowice II
Jeżowa,Garbarnia
Michałowice II,Michałowice Ośrodek Zdrowia
Niepołomice Boryczów,Niepołomice Kościuszki
Koksochemia,Nadbrzezie
Zawiszy,Narwik
Powstańców Wielkopolskich,Plac Bohaterów Getta
Saska,Lipska
Krzyszkowice Os. Szymanowskiego,Wieliczka CPN
Łagiewniki,Sanktuarium Bożego Miłosierdzia
Os.Zielone,Os.Górali
Os.Zielone,Żeromskiego
Wysiołek Luborzycki,Wysiołek Luborzycki I
Gołuchowice,Rzozów Szkoła
Most Grunwaldzki,Rondo Grunwaldzkie
Czernichów GS,Czernichów Stacja Paliw
Sławka,Kamieńskiego
Prokocim,Prokocim Szpital
Kostrze Szkoła,Kostrze OSP
Morawica Mostek,Chrosna Kapliczka
Świątniki Górne,Świątniki Skrzyżowanie
Balice II,Balice I
Darwina,Cmentarz Grębałów Zachód
Wielicka Granica Miasta,Krzyszkowice Modrzewiowa
Węgrzce,Bibice I
Żwirownia,Za Torami
Przeginia Narodowa II,Przeginia Narodowa
Wiadukty,Wańkowicza
Rudawa PKP,Rudawa Kościół
Kąpielowa,Opatkowice Wiadukt
Pielgrzymowice,Pielgrzymowice I
Siewna,Natansona
Modlnica,Modlnica Skrzyżowanie
Żwirownia,Świetlica
Clepardia,Siewna Wiadukt
Nowa Wieś Kapliczka,Nowa Wieś
Brzezinka,Brzezinka Skrzyżowanie
Balicka Wiadukt,Wesele
Aleja 29 Listopada,Majora
Ćwiklińskiej,Nowy Prokocim
Teatr Bagatela,Dworzec Główny
Niepołomice Podgrabie,Grabie Kościół
Bogucianka,Tyniec
Chełm,Raczkiewicza
Koszykarska,Elektrociepłownia Kraków
Łuczanowice Skrzyżowanie,Wadów Osiedle
Ojcowska,Ojcowska Wągroda
Zbydniowice Szkoła,Golkowice
Rusocice Jałowce,Rusocice I
Francesco Nullo,Ofiar Dąbia
Strzelnica,Lajkonika
Rzozów PKP,Rzozów Zagonnie
Krowodrza Górka,Bratysławska
Garbarnia,Jeżowa
Rączna I,Rączna Kościół
Skawina Cmentarz Komunalny,Skawina Kopernika I
Zabawa,Wieliczka Niepołomska
Soboniowice Granica Miasta,Grabówki
Conrada,Opolska
Zabierzów Piekarnia,Zabierzów Sklep
Borki I,Borki
Balice Grzybów,Burów I
Zbydniowice,Zbydniowice Szkoła
Radziszów PKP,Radziszów Zawodzie
Stara Wola,Sielanka
Będkowice Mosurowa,Bębło Lasek
Bieżanów Granica Miasta,Złocieniowa
Os.Dywizjonu 303,Wiślicka
Lekarska,Zdrowa
Cmentarz Batowice,Prądnik Czerwony
Rondo Młyńskie,Narzymskiego
Kantorowice,Zesławice Ogródki Działkowe
Skawina Centrum Wodne,Skawina Ajka
Zajezdnia Wola Duchacka,Puszkarska
